Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
958346;Kendall Jackson Vintners Reserve Zinfandel 2019;Jackson Family Wines;0,75 l;26.98;35.84;;110;punaviinit;Vivahteikas & Kehittynyt;;;Yhdysvallat;Kalifornia;2019;Mendocino County;Saattaa sisältää sakkaa;Zinfandel, ;Täyteläinen, keskitanniininen, karhunvatukkainen, luumuinen, setrinen;pullo;luonnonkorkki;14.May;5.May;3;;;;80.0;tilausvalikoima;81584131403
406127;Kenwood Six Ridges Cabernet Sauvignon 2015;Kenwood Vineyards;0,75 l;31.71;42.15;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2015;AVA Alexander Valley;;Cabernet Sauvignon, ;Täyteläinen, tanniininen, mustaherukkainen, viikunainen, mustikkainen, karpaloinen, pippurinen, yrttinen, tamminen;pullo;luonnonkorkki;14.May;5.Sep;0;;;;80.0;vakiovalikoima;10986000109
950478;Kukkula Aatto 2016;Kukkula;0,75 l;59.99;79.99;;110;punaviinit;Vivahteikas & Kehittynyt;;;Yhdysvallat;Kalifornia;2016;AVA Adelaida District;Sisältää sakkaa;Counoise, Grenache Noir, Mourvèdre, ;Täyteläinen, tanniininen, karpaloinen, savuinen, tumman kirsikkainen;pullo;luonnonkorkki;15.0;5.Jan;0;;;;80.0;tilausvalikoima;6,43005E+12
907708;Kukkula Sisu 2017;Kukkula;0,75 l;64.99;86.65;;110;punaviinit;Vivahteikas & Kehittynyt;;;Yhdysvallat;Kalifornia;2017;Adelaida District;Sisältää sakkaa;Syrah, Mourvèdre, Grenache Noir, ;Täyteläinen, tanniininen, kirsikkainen, savuinen, mausteinen;pullo;luonnonkorkki;15.0;5.Apr;2;;;;80.0;tilausvalikoima;6,43005E+12
474487;L'Aventure Côte a Côte 2018;Stephan Vineyards;0,75 l;119.99;159.99;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2018;Paso Robles;Saattaa sisältää sakkaa;Grenache Noir, Mourvèdre, Syrah, ;Täyteläinen, tanniininen, mesimarjainen, herukkainen, karhunvatukkainen, kevyen kukkainen, tamminen, lämmin;pullo;luonnonkorkki;16.0;5.Sep;1;;;;90.0;erikoiserä;3,76013E+12
428007;La Marea Grenache  2018;I. Brand & Family;0,75 l;30.70;40.8;;110;punaviinit;Mehevä & Hilloinen;vegaaninen;;Yhdysvallat;Kalifornia;2018;Central Coast;;Grenache Noir, ;Täyteläinen, tanniininen, tumman kirsikkainen, vadelmainen, kevyen punaherukkainen, yrttinen, vivahteikas;pullo;luonnonkorkki;13.Jun;5.Apr;0;;;;80.0;erikoiserä;8,59978E+11
424997;Louis M. Martini LOT No. 1 Cabernet Sauvignon 2016;Louis M. Martini;0,75 l;220.00;293.33;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2016;Napa Valley;;Cabernet Sauvignon, ;Erittäin täyteläinen, erittäin tanniininen, mustaherukkainen, tumman kirsikkainen, karhunvatukkainen, suklainen, mustapippurinen, kevyen yrttinen, tamminen, ryhdikäs, pitkä;pullo;luonnonkorkki;15.0;6.Feb;1;;;;80.0;erikoiserä;85000014165
465497;Louis M. Martini Monte Rosso Vineyard Cabernet Sauvignon 2016;Louis M. Martini;0,75 l;139.00;185.33;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2016;Sonoma Valley;;Cabernet Sauvignon, ;Erittäin täyteläinen, erittäin tanniininen, mustaherukkainen, kirsikkahilloinen, tumman luumuinen, kaakaoinen, hennon yrttinen, tamminen, ryhdikäs;pullo;luonnonkorkki;15.Mar;6.0;1;;;;80.0;erikoiserä;85000204535
421607;Louis M. Martini Monte Rosso Vineyard Zinfandel 2016;Louis M. Martini;0,75 l;79.00;105.33;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2016;Sonoma Valley;;Zinfandel, ;Täyteläinen, tanniininen, tumman luumuinen, boysenmarjahilloinen, kirsikkainen, hennon lakritsinen, kevyen yrttinen, tamminen, pitkä;pullo;luonnonkorkki;16.Feb;6.Apr;2;;;;90.0;erikoiserä;85000014134
908778;Louis M. Martini Napa Valley Cabernet Sauvignon 2018;Louis M. Martini Winery;0,75 l;39.98;53.31;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2018;Napa Valley;;Cabernet Sauvignon, Petit Verdot, Petite Sirah, ;Täyteläinen, tanniininen, setrinen, yrttinen, kirsikkainen;pullo;luonnonkorkki;15.0;5.Aug;1;;;;80.0;tilausvalikoima;85000011645
492507;Louis M. Martini Sonoma County Cabernet Sauvignon 2018;Louis M. Martini Winery;0,75 l;19.99;26.65;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2018;Sonoma County;;Cabernet Sauvignon, Merlot, Petite Sirah, Cabernet Franc, ;Täyteläinen, tanniininen, kirsikkainen, mustaherukkainen, boysenmarjainen, kevyen pippurinen, hennon nahkainen;pullo;luonnonkorkki;13.May;4.Aug;;;;;80.0;vakiovalikoima;85000011638
941707;Love Noir Pinot Noir 2015;Winepartners;0,75 l;Dec.98;17.17;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2015;California;Saattaa sisältää sakkaa;Pinot Noir, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, karpaloinen, boysenmarjainen, mausteinen, suklainen;pullo;luonnonkorkki;13.May;5.Feb;6;;;;80.0;vakiovalikoima;81308003368
919537;Lynx Black Label Petite Sirah 2020;House of Big Wines;0,75 l;Dec.98;17.17;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2020;Wine of California;;Petite Sirah, ;Keskitäyteläinen, keskitanniininen, kuningatarhilloinen, kirsikkainen, maitosuklainen, kevyen vaniljainen;pullo;metallinen kierrekapseli;13.May;4.Feb;8;;;;80.0;vakiovalikoima;7,35001E+12
923457;Lynx Petite Sirah Zinfandel 2020;House of Big Wines;0,75 l;Nov.99;15.85;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2020;Wine of California;;Petite Sirah, Zinfandel, ;Täyteläinen, keskitanniininen, mustikkainen, vadelmainen, yrttinen, kevyen maitosuklainen, hennon tervainen;pullo;metallinen kierrekapseli;13.May;4.Sep;7;;;;80.0;vakiovalikoima;3,33275E+12
420967;MacMurray Pinot Noir 2019;MacMurray;0,75 l;29.90;39.87;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2019;Russian River Valley;;Pinot Noir, ;Täyteläinen, keskitanniininen, boysenmarjainen, tumman kirsikkainen, luumuinen, mausteinen, tamminen;pullo;luonnonkorkki;14.May;5.Mar;2;;;;80.0;erikoiserä;85000229125
445997;Manifesto Zinfandel Lodi  2018;Manfiesto Wine Cellars;0,75 l;16.78;22.24;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2018;AVA Lodi;;Zinfandel, ;Täyteläinen, tanniininen, karhunvatukkainen, vadelmainen, hennon mansikkainen, yrttinen, kevyen tamminen, vivahteikas;pullo;luonnonkorkki;14.0;4.Aug;0;;;;80.0;erikoiserä;8,98999E+11
922417;Michael David 6th Sense Syrah 2018;Michael David Winery;0,75 l;23.98;31.97;;110;punaviinit;Mehevä & Hilloinen;kestävän kehityksen sertifiointi;;Yhdysvallat;Kalifornia;2018;Lodi;Saattaa sisältää sakkaa;Syrah, Petite Sirah, Cinsault, ;Täyteläinen, keskitanniininen, karhunvatukkahilloinen, mausteinen, tamminen;pullo;luonnonkorkki;15.0;6.Apr;6;;;;80.0;tilausvalikoima;6,52935E+11
919685;Michael David Freakshow Zinfandel 2019;Michael David Winery;0,75 l;26.50;35.33;;110;punaviinit;Vivahteikas & Kehittynyt;;;Yhdysvallat;Kalifornia;2019;Lodi;;Zinfandel, Petit Verdot, Petite Sirah, ;Täyteläinen, keskitanniininen, mausteinen, suklainen, tamminen;pullo;luonnonkorkki;15.May;6.Apr;6;;;;90.0;tilausvalikoima;6,52935E+11
933644;Most Wanted Zinfandel 2019;Off-Piste wines;0,75 l;13.98;18.51;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2019;Lodi;Saattaa sisältää sakkaa;Zinfandel, ;Täyteläinen, keskitanniininen, karhunvatukkahilloinen, tumman kirsikkainen, vaniljainen;pullo;metallinen kierrekapseli;14.May;4.Sep;3;;;;80.0;tilausvalikoima;5,06015E+12
430977;Motto Gung Ho Red Blend 2014;Motto Wines;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2014;California;;Cabernet Sauvignon, Petit Verdot, Petite Sirah, Zinfandel, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, mustikkahilloinen, karhunvatukkainen, herukkainen, kevyen suklainen;pullo;luonnonkorkki;13.May;5.Apr;6;;;;80.0;vakiovalikoima;88586007194
485407;Napa Cellars Cabernet Sauvignon 2017;Napa Cellars;0,75 l;43.90;58.4;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2017;Napa Valley;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, tanniininen, luumuinen, mustaherukkainen, boysenmarjainen, kaakaoinen, tamminen;pullo;luonnonkorkki;14.0;5.Jun;1;;;;80.0;tilausvalikoima;8,70731E+11
493507;No Bull Petite Sirah 2021;Mare Magnum;0,75 l;13.49;17.85;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Yhdysvallat;Kalifornia;2021;Lodi;;Petite Sirah, ;Täyteläinen, tanniininen, mustikkainen, kirsikkainen, boysenmarjainen, suklainen, kevyen tamminen;pullo;metallinen kierrekapseli;13.May;5.Jul;4;;;;80.0;vakiovalikoima;7,34005E+12
957311;Noble Vines 337 Cabernet Sauvignon 2019;Delicato Family Vineyards;0,75 l;18.99;25.19;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2019;Lodi;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, mustaherukkainen, mokkainen;pullo;metallinen kierrekapseli;14.May;5.Jul;4;;;;80.0;tilausvalikoima;1,22E+12
439657;Noble Vines 667 Pinot Noir 2019;Delicato Family Vineyards;0,75 l;16.99;22.52;;110;punaviinit;Mehevä & Hilloinen;kestävän kehityksen sertifiointi;;Yhdysvallat;Kalifornia;2019;Monterey;;Pinot Noir, ;Täyteläinen, keskitanniininen, mustikkainen, punaherukkainen, vadelmainen, kevyen lääkeyrttinen, tamminen;pullo;metallinen kierrekapseli;14.May;4.Jul;3;;;;80.0;vakiovalikoima;1,22E+12
484797;Obsession Red 2017;Ironstone Vineyards;0,75 l;15.19;20.Dec;;110;punaviinit;Vivahteikas & Kehittynyt;;;Yhdysvallat;Kalifornia;2017;California;;Merlot, Zinfandel, Petite Sirah, ;Täyteläinen, keskitanniininen, karhunvatukkainen, viikunainen, mansikkainen, suklainen, vaniljainen, kevyen tallinen;pullo;synteettinen korkki;14.May;5.Feb;8;;;;80.0;vakiovalikoima;7,24826E+11
460857;Odd Lot Petit Sirah Petit Verdot 2019;Odd Lot Wine Company;0,75 l;23.49;31.32;;110;punaviinit;Mehevä & Hilloinen;kestävän kehityksen sertifiointi;;Yhdysvallat;Kalifornia;2019;Monterey;;Petite Sirah, Petit Verdot, ;Täyteläinen, tanniininen, karhunvatukkahilloinen, tumman kirsikkainen, kevyen mustaherukkainen, yrttinen, hennon tamminen;pullo;luonnonkorkki;13.May;5.Apr;5;;;;80.0;erikoiserä;6,7583E+11
460637;Orin Swift Eight Years in the Desert 2019;Orin Swift Cellars;0,75 l;63.99;85.32;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2019;California;;Zinfandel, ;Täyteläinen, erittäin tanniininen, karhunvatukkahilloinen, luumuinen, mustikkainen, kevyen kirsikkainen, mausteinen, vaniljainen, tamminen, runsas, lämmin, pitkä;pullo;luonnonkorkki;16.May;5.Feb;1;;;;90.0;erikoiserä;85000026700
499047;Orin Swift Palermo Napa Valley Cabernet Sauvignon 2018;Orin Swift Cellars;0,75 l;74.99;99.99;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2018;Napa Valley;;Cabernet Sauvignon, ;Erittäin täyteläinen, tanniininen, kypsän mustaherukkainen, kirsikkahilloinen, luumuinen, mustapippurinen, tamminen, lämmin, pitkä;pullo;luonnonkorkki;15.May;5.Apr;1;;;;90.0;erikoiserä;85000025345
431527;Orin Swift Slander Pinot Noir 2018;Orin Swift Cellars;0,75 l;69.98;93.31;;110;punaviinit;Marjaisa & Raikas;;;Yhdysvallat;Kalifornia;2018;California;;Pinot Noir, ;Täyteläinen, keskitanniininen, runsaan kirsikkainen, karpalohilloinen, luumuinen, kevyen kaakaopapuinen, mausteinen, tasapainoinen;pullo;luonnonkorkki;15.0;5.May;1;;;;80.0;erikoiserä;85000025475
487047;Penfolds Bin 149 Cabernet Sauvignon 2018;Penfolds;0,75 l;289.90;386.53;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2018;;;;Täyteläinen, tanniininen, mesimarjainen, kirsikkainen, herukkainen, karhunvatukkainen, pippurinen, tamminen, vivahteikas;pullo;luonnonkorkki;14.May;7.Mar;1;;;;80.0;erikoiserä;9,3103E+12
447117;Quintessa 2016;Quintessa;0,75 l;229.98;306.64;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2016;Rutherford;Saattaa sisältää sakkaa;Cabernet Sauvignon, Cabernet Franc, Carmenère, Merlot, Petit Verdot, ;Täyteläinen, tanniininen, mustaherukkainen, mustikkainen, tumman kirsikkainen, setrinen, kevyen metsänpohjainen, hennon tryffelinen;pullo;luonnonkorkki;14.May;5.Sep;3;;;;80.0;erikoiserä;83085001025
938081;Raymond Collection Cabernet Sauvignon 2016;Raymond Vinyeard & Cellar;0,75 l;24.90;33.2;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2016;California;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, tanniininen, marjainen, mausteinen, vaniljainen;pullo;luonnonkorkki;13.May;6.Jan;6;;;;80.0;tilausvalikoima;87447649320
911441;Raymond Family Classic Cabernet Sauvignon 2016;Raymond Vinyeards;0,75 l;44.91;59.88;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2016;North Coast;Saattaa sisältää sakkaa;Cabernet Sauvignon, Petite Sirah, Petit Verdot, Merlot, ;Täyteläinen, tanniininen, boysenmarjainen, karhunvatukkainen, tamminen;pullo;luonnonkorkki;13.May;5.Jun;6;;;;80.0;tilausvalikoima;87447632070
926305;Raymond Reserve Selection Cabernet Sauvignon 2016;Raymond Vinyeard & Cellar;0,75 l;63.90;85.2;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2016;California;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, tanniininen, karhunvatukkainen, mausteinen, tamminen;pullo;luonnonkorkki;15.0;6.0;3;;;;80.0;tilausvalikoima;87447218724
941382;Ridge Geyserville 2020;Ridge Vineyards;0,75 l;66.90;89.2;uutuus;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2020;Alexander Valley;Saattaa sisältää sakkaa;Zinfandel, Carignan, Petite Sirah, Alicante Bouschet, Mataro, ;Täyteläinen, tanniininen, karpaloinen, mustaherukkainen, mausteinen;pullo;luonnonkorkki;14.0;5.May;1;;;;80.0;tilausvalikoima;7,44442E+11
472047;Robert Mondavi Napa Valley Cabernet Sauvignon 2019;Robert Mondavi;0,75 l;64.99;86.65;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2019;Napa Valley;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, tanniininen, mustaherukkainen, boysenmarjainen, luumuinen, kevyen suklainen, mausteinen, hennon lyijykynäinen, tamminen, pitkä;pullo;luonnonkorkki;15.0;5.Jul;1;;;;80.0;erikoiserä;86003051843
951464;Robert Mondavi Private Selection Bourbon Barrel-Aged Cabernet Sauvignon 2018;Robert Mondavi;0,75 l;19.99;26.65;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2018;Monterey County;;Cabernet Sauvignon, ;Täyteläinen, tanniininen, mustaherukkainen, kirsikkainen, tamminen;pullo;metallinen kierrekapseli;14.May;5.Aug;5;;;;80.0;tilausvalikoima;86003780217
906315;Robert Mondavi Private Selection Cabernet Sauvignon 2019;Robert Mondavi;0,75 l;17.98;23.84;uutuus;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2019;California;;Cabernet Sauvignon, Petite Sirah, Cabernet Franc, ;Täyteläinen, keskitanniininen, kirsikkainen, mausteinen, tamminen;pullo;luonnonkorkki;13.May;5.Jul;4;;;;80.0;tilausvalikoima;86003061910
924907;Robert Mondavi Private Selection Pinot Noir 2019;Robert Mondavi;0,75 l;17.98;23.84;;110;punaviinit;Marjaisa & Raikas;;;Yhdysvallat;Kalifornia;2019;California;;Pinot Noir, ;Keskitäyteläinen, keskitanniininen, marjainen, mausteinen;pullo;synteettinen korkki;13.May;6.Jan;6;;;;80.0;tilausvalikoima;86003091931
435727;Robert Mondavi Reserve Pinot Noir 2015;Robert Mondavi;0,75 l;89.99;119.99;;110;punaviinit;Marjaisa & Raikas;;;Yhdysvallat;Kalifornia;2015;AVA Carneros Napa Valley;;Pinot Noir, ;Keskitäyteläinen, keskitanniininen, metsämarjainen, kypsän karpaloinen, boysenmarjahilloinen, mausteinen, kevyen yrttinen, tamminen;pullo;luonnonkorkki;14.May;7.0;1;;;;80.0;erikoiserä;86003105850
944916;Robert Mondavi Rum Barrel-Aged Merlot 2018;Robert Mondavi;0,75 l;19.99;26.65;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2018;California;;Merlot, Malbec, Petite Sirah, ;Täyteläinen, tanniininen, mausteinen, kirsikkainen, vaniljainen;pullo;luonnonkorkki;14.May;4.Aug;3;;;;80.0;tilausvalikoima;86003780316
419777;Robert Mondavi The Reserve Cabernet Sauvignon To Kalon Vineyard 2018;Robert Mondavi;0,75 l;189.98;253.31;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2018;Napa Valley;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Erittäin täyteläinen, tanniininen, karhunvatukkahilloinen, mustaherukkainen, tumman kirsikkainen, lyijykynäinen, kevyen mustapippurinen, tamminen, lämmin, pitkä;pullo;luonnonkorkki;14.May;5.Aug;0;;;;80.0;erikoiserä;83085221249
909804;Robert Mondavi Winery Oakville Cabernet Sauvignon 2018;Robert Mondavi Winery;0,75 l;94.99;126.65;;110;punaviinit;Roteva & Voimakas;ympäristövastuullinen pakkaus;;Yhdysvallat;Kalifornia;2018;Napa Valley;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, tanniininen, tumman kirsikkainen, mausteinen, tamminen;pullo;luonnonkorkki;14.May;6.Feb;0;;;;80.0;tilausvalikoima;86003061927
455237;Rodney Strong Russian River Valley Pinot Noir 2018;Rodney Strong Vineyards;0,75 l;53.91;71.88;uutuus;110;punaviinit;Marjaisa & Raikas;kestävän kehityksen sertifiointi;;Yhdysvallat;Kalifornia;2018;Russian River Valley;;Pinot Noir, ;Keskitäyteläinen, keskitanniininen, mesimarjainen, kirsikkainen, kevyen karpaloinen, mausteinen, hennon tamminen;pullo;metallinen kierrekapseli;14.May;5.Mar;3;;;;80.0;erikoiserä;87512927957
447437;Seghesio Cortina Zinfandel 2018;Seghesio Family Vineyards;0,75 l;39.90;53.07;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2018;Dry Creek Valley;;Zinfandel, ;Erittäin täyteläinen, tanniininen, tumman kirsikkainen, boysenmarjainen, kevyen mustaherukkainen, tamminen, mokkainen, runsas, pitkä;pullo;luonnonkorkki;15.0;6.Apr;2;;;;80.0;tilausvalikoima;88254758984
918873;Shafer Hillside Select 2017;Shafer Vineyards;0,75 l;320.99;427.99;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2017;Napa Valley;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Erittäin täyteläinen, tanniininen, luumuinen, karhunvatukkainen, mustaherukkainen;pullo;luonnonkorkki;15.May;6.Sep;1;;;;90.0;tilausvalikoima;13528400023
902745;Shafer One Point Five 2018;Shafer Vineyards;0,75 l;101.00;134.67;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2018;Napa Valley;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, tanniininen, vaniljainen, mustaherukkainen, yrttinen, nahkainen, kirsikkainen;pullo;luonnonkorkki;15.0;7.0;3;;;;80.0;tilausvalikoima;13528800014
914588;Shafer Relentless 2016;Shafer Vineyards;0,75 l;114.00;152.0;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2016;;Saattaa sisältää sakkaa;Syrah, Petite Sirah, ;Täyteläinen, keskitanniininen, mausteinen, vadelmainen, luumuinen;pullo;luonnonkorkki;15.May;7.Jan;3;;;;90.0;tilausvalikoima;13528700024
950878;Shafer TD-9 2018;Shafer Vineyards;0,75 l;77.99;103.99;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2018;Napa Valley;Saattaa sisältää sakkaa;Merlot, Cabernet Sauvignon, Malbec, ;Erittäin täyteläinen, keskitanniininen, kirsikkainen, luumuinen, mustikkainen;pullo;luonnonkorkki;15.0;6.Jul;3;;;;80.0;tilausvalikoima;13528900028
465757;Smashberry 2018;Smashberry;0,75 l;13.99;18.52;;110;punaviinit;Mehevä & Hilloinen;;;Yhdysvallat;Kalifornia;2018;Paso Robles;;Cabernet Sauvignon, Grenache Noir, Lagrein, Merlot, Syrah, ;Täyteläinen, keskitanniininen, karhunvatukkainen, metsämarjainen, tumman kirsikkainen, kevyen mustikkainen, hennon kaakaoinen, mausteinen;pullo;metallinen kierrekapseli;14.0;5.Jun;4;;;;80.0;vakiovalikoima;8,18013E+11
931474;Smoking Loon Old Vine Zinfandel 2017;Don Sebastiani & Sons;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Yhdysvallat;Kalifornia;2017;California;;Zinfandel, ;Keskitäyteläinen, keskitanniininen, karhunvatukkahilloinen, tumman kirsikkainen, kevyen puolukkainen, viikunainen, yrttinen;pullo;metallinen kierrekapseli;14.May;5.Mar;4;;;;80.0;vakiovalikoima;17444000794
950998;Smoking Loon Pinot Noir 2017;Don Sebastiani & Sons;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Yhdysvallat;Kalifornia;2017;California;;Pinot Noir, ;Täyteläinen, keskitanniininen, aromikas, mustikkainen, tumman kirsikkainen;pullo;metallinen kierrekapseli;13.May;5.Jul;5;;;;80.0;tilausvalikoima;17444000756
910752;Stag's Leap Artemis Cabernet Sauvignon 2017;Stag's Leap Wine Cellars;0,75 l;84.89;113.19;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2017;Napa Valley;;Cabernet Sauvignon, Malbec, Merlot, ;Täyteläinen, tanniininen, mustaherukkainen, tumman kirsikkainen, tamminen;pullo;luonnonkorkki;15.0;5.Jan;1;;;;80.0;tilausvalikoima;88593700200
444497;Stephan Vineyards L'Aventure Estate Cuvée 2018;Stephan Vineyard;0,75 l;130.22;173.63;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2018;Paso Robles;Saattaa sisältää sakkaa;Syrah, Cabernet Sauvignon, Petit Verdot, ;Täyteläinen, erittäin tanniininen, mustaherukkainen, karhunvatukkainen, tumman kirsikkainen, luumuinen, mustapippurinen, tamminen, runsas, lämmin, pitkä;pullo;luonnonkorkki;16.0;6.Feb;1;;;;90.0;erikoiserä;3,76013E+12
469007;Stephan Vineyards L'Aventure Optimus 2018;Stephan Vineyards;0,75 l;69.98;93.31;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2018;Willow Creek District;Saattaa sisältää sakkaa;Syrah, Cabernet Franc, Petit Verdot, ;Erittäin täyteläinen, tanniininen, karhunvatukkainen, mustikkainen, kirsikkainen, vaniljainen, mausteinen, tamminen, runsas;pullo;luonnonkorkki;15.May;5.Sep;0;;;;90.0;erikoiserä;3,76013E+12
931784;Talbott Sleepy Hollow Vineyard Pinot Noir 2016;Robert Talbott Vineyards;0,75 l;44.99;59.99;;110;punaviinit;Marjaisa & Raikas;;;Yhdysvallat;Kalifornia;2016;AVA Santa Lucia Highlands;;Pinot Noir, ;Keskitäyteläinen, keskitanniininen, kirsikkainen, tamminen, karhunvatukkainen;pullo;metallinen kierrekapseli;14.0;6.May;1;;;;80.0;tilausvalikoima;8,8364E+11
452577;Three Finger Jack Cabernet Sauvignon 2020;3 Finger Jack Cellars;0,75 l;18.99;25.19;;110;punaviinit;Mehevä & Hilloinen;kestävän kehityksen sertifiointi;;Yhdysvallat;Kalifornia;2020;Lodi;;Cabernet Sauvignon, ;Erittäin täyteläinen, tanniininen, boysenmarjahilloinen, herukkainen, kypsän luumuinen, kaakaoinen, tamminen;pullo;luonnonkorkki;15.0;5.Jun;3;;;;80.0;vakiovalikoima;1,22E+12
903297;Three Finger Jack Old Vine Zinfandel 2019;3 Finger Jack Cellars;0,75 l;18.99;25.19;;110;punaviinit;Mehevä & Hilloinen;kestävän kehityksen sertifiointi;;Yhdysvallat;Kalifornia;2019;Lodi;;Zinfandel, ;Keskitäyteläinen, keskitanniininen, villivadelmainen, kypsän kirsikkainen, kevyen kaakaoinen, vaniljainen, mausteinen;pullo;luonnonkorkki;14.May;5.Apr;2;;;;80.0;vakiovalikoima;1,22E+12
914107;Tom of Finland Outstanding Red 2016;Tom of Finland Foundation;0,75 l;15.98;21.17;;110;punaviinit;Roteva & Voimakas;;;Yhdysvallat;Kalifornia;2016;;;Zinfandel, Merlot, Cabernet Sauvignon, ;Erittäin täyteläinen, tanniininen, boysenmarjahilloinen, luumuinen, tumman kirsikkainen, kevyen karpaloinen, mokkainen, paahteinen, vaniljainen;pullo;synteettinen korkki;14.May;5.Jul;3;;;;80.0;vakiovalikoima;7,24826E+11
910847;Wente Riva Ranch Pinot Noir 2018;Wente Vineyards;0,75 l;31.89;42.52;;110;punaviinit;Mehevä & Hilloinen;kestävän kehityksen sertifiointi;;Yhdysvallat;Kalifornia;2018;;Saattaa sisältää sakkaa;Pinot Noir, ;Keskitäyteläinen, keskitanniininen, tamminen, tumman kirsikkainen, karpaloinen;pullo;luonnonkorkki;14.May;5.Jul;7;;;;80.0;tilausvalikoima;89636430313
414447;Wente Sandstone Merlot 2019;Wente Vineyards;0,75 l;19.99;26.52;;110;punaviinit;Roteva & Voimakas;kestävän kehityksen sertifiointi;;Yhdysvallat;Kalifornia;2019;Livermore Valley;Saattaa sisältää sakkaa;Merlot, Petite Sirah, Malbec, ;Täyteläinen, tanniininen, boysenmarjainen, mustaherukkainen, suklainen, tamminen, lämmin;pullo;luonnonkorkki;13.May;6.Mar;0;;;;80.0;vakiovalikoima;89636455552
