Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
117507;Claude Chatelier XO Extra Old;Cognac Ferrand;0,7 l;59.98;85.69;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Kastanjanruskea, keskitäyteläinen, melko iäkäs, lämmin, kypsän aprikoosinen, pomeranssinen, hennon toffeinen, mausteinen, kevyen tamminen;pullo;luonnonkorkki;40.0;;11;;;;230.0;vakiovalikoima;3,46041E+12
151147;Cognac Park Mizunara;Tessendier;0,7 l;57.18;81.54;;432;konjakit;Muut-Konjakit;;;Ranska;Cognac;;;;;Keltainen, keskitäyteläinen, nuorehko, lämmin, kuivahedelmäinen, tamminen, mausteinen, runsas;pullo;luonnonkorkki;43.5;;1;;;;240.0;erikoiserä;3,76005E+12
918943;Cognac Park Mizunara Aged 10 Years;Distillerie Tessendier et Fils;0,7 l;88.73;126.76;uutuus;432;konjakit;Muut-Konjakit;;;Ranska;Cognac;;AOC Cognac Borderies;Saattaa sisältää sakkaa;;Kullanruskea, täyteläinen, melko iäkäs, lämmin, mausteinen, kuivahedelmäinen, tamminen;pullo;luonnonkorkki;44.0;;0;;;;240.0;tilausvalikoima;3,76005E+12
841;Courvoisier VS;Courvoisier;0,7 l;42.98;61.26;;432;konjakit;VS-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Meripihkanruskea, keskitäyteläinen, nuorehko, lämmin, aprikoosinen, hennon hunajainen, mausteinen;pullo;luonnonkorkki;40.0;;7;;;;230.0;vakiovalikoima;3,0492E+12
110447;Courvoisier VSOP;Courvoisier;0,7 l;52.99;75.56;;432;konjakit;VSOP-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Kuparinruskea, keskitäyteläinen, melko iäkäs, lämmin, hedelmäinen, kevyen pähkinäinen, vaniljainen, tamminen;pullo;luonnonkorkki;40.0;;7;;;;230.0;vakiovalikoima;3,0492E+12
137607;Courvoisier XO;Courvoisier;0,7 l;124.98;178.54;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Meripihkanruskea, täyteläinen, iäkäs, lämmin, kypsän aprikoosinen, mausteinen, kevyen pähkinäinen, kaakaoinen, yrttinen, elegantti;pullo;luonnonkorkki;40.0;;7;;;;230.0;vakiovalikoima;3,0492E+12
1082;Delfin VS;Frapin;0,35 l;18.90;53.71;;432;konjakit;VS-Konjakit;;;Ranska;Cognac;;AC Cognac Fine Champagne;;;Meripihkanruskea, keskitäyteläinen, nuorehko, lämmin, makean hedelmäinen, kevyen tamminen, hennon yrttinen;pullo;metallinen kierrekapseli;40.0;;12;;;;230.0;vakiovalikoima;3,27585E+12
110274;Dupuy V.S.O.P;Dupuy;0,35 l;20.17;57.34;;432;konjakit;VSOP-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Kullanruskea, keskitäyteläinen, melko iäkäs, lämmin, makean hedelmäinen, kevyen kinuskinen, mausteinen;pullo;muovisuljin;40.0;;10;;;;230.0;vakiovalikoima;3,42868E+12
154086;Dupuy VS muovipullo;Dupuy;0,5 l;23.98;47.56;;432;konjakit;VS-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Kuparinruskea, keskitäyteläinen, nuorehko, lämmin, hedelmäinen, hennon yrttinen;muovipullo;metallinen kierrekapseli;40.0;;15;;;;230.0;vakiovalikoima;3,42868E+12
1027;Dupuy VSOP;Cognac Dupuy;0,7 l;39.99;56.99;;432;konjakit;VSOP-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Kullanruskea, keskitäyteläinen, melko iäkäs, lämmin, makean hedelmäinen, kevyen kinuskinen, mausteinen;pullo;muovisuljin;40.0;;10;;;;230.0;vakiovalikoima;3,42868E+12
